el	en	αγία	holy, saint
el	en	πετρούπολη	petersburg
el	en	στην	the
en	en	accompanist	A person who provides a musical accompaniment to another musician or to a singer.
en	en	ace	A playing card with a single spot on it, ranked as the highest card in its suit in most card games.
en	en	adamant	Refusing to be persuaded or to change one's mind.
en	en	administrivia	The tiresome but essential details that must be taken care of and tasks that must be performed in running an organization; "he sets policy and leaves all the administrivia to his assistant"
en	en	admissions	A statement acknowledging the truth of something.
en	en	advocacy	Public support for or recommendation of a particular cause or policy.
en	en	altercation	A noisy argument or disagreement, especially in public.
en	en	ammunition	A supply or quantity of bullets and shells.
en	en	anarchist	A person who believes in or tries to bring about anarchy.
en	en	apply	Make a formal application or request.
en	en	ariam	Driver Broadcast Information based on real time Traffic Information (advanced ARI)
en	en	asshole	The anus.
en	en	badgering	Ask (someone) repeatedly and annoyingly for something; pester.
en	en	bday	A birthday is a day that comes once a year when a person celebrates the anniversary of his or her birth. Birthdays are celebrated in numerous cultures, often with a gift, party, or rite of passage. ...
en	en	befuddled	Make (someone) unable to think clearly.
en	en	bikini	A very brief two-piece swimsuit for women.
en	en	bleeding	Lose blood from the body as a result of injury or illness.
en	en	blowjob	An act of fellatio.
en	en	blunt	(of a knife, pencil, etc.) having a worn-down edge or point; not sharp.
en	en	brag	Say in a boastful manner.
en	en	brats	A child, typically a badly behaved one.
en	en	brokeback	Brokeback is a project of Doug McCombs, bassist of Tortoise and Eleventh Dream Day.
en	en	brunch	A late morning meal eaten instead of breakfast and lunch.
en	en	brunette	A person, typically a woman, with dark brown hair.
en	en	brunettes	A person, typically a woman, with dark brown hair.
en	en	brushed	Remove (dust or dirt) by sweeping or scrubbing.
en	en	bug	A small insect.
en	en	bum	A vagrant.
en	en	bump	A light blow or a jolting collision.
en	en	bust	Break, split, or burst (something).
en	en	butt	The thicker end, especially of a tool or a weapon.
en	en	calculated	Determine (the amount or number of something) mathematically.
en	en	chagrin	Distress or embarrassment at having failed or been humiliated.
en	en	cherish	Protect and care for (someone) lovingly.
en	en	cisgender	Denoting or relating to a person whose self-identity conforms with the gender that corresponds to their biological sex; not transgender.
en	en	classy	Stylish and sophisticated.
en	en	cliche	A phrase or opinion that is overused and betrays a lack of original thought.
en	en	clown	A comic entertainer, especially one in a circus, wearing a traditional costume and exaggerated makeup.
en	en	commensurate	Corresponding in size or degree; in proportion.
en	en	confronting	Meet (someone) face to face with hostile or argumentative intent.
en	en	consternation	Feelings of anxiety or dismay, typically at something unexpected.
en	en	contact	The state or condition of physical touching.
en	en	courtesy	The showing of politeness in one's attitude and behavior toward others.
en	en	creeper	Any plant that grows along the ground, around another plant, or up a wall by means of extending stems or branches.
en	en	creepy	Causing an unpleasant feeling of fear or unease.
en	en	criteria	A principle or standard by which something may be judged or decided.
en	en	crush	Deform, pulverize, or force inwards by compressing forcefully.
en	en	cruz	Cruz is a city in Ceará, state of Brazil. The city lies on the Acaraú River near the northern Atlantic coast. As of 2010 the population was estimated at 22,479.
en	en	curated	Select, organize, and look after the items in (a collection or exhibition).
en	en	curvaceous	(especially of a woman or a woman's figure) having an attractively curved shape.
en	en	daphne	Any of several ornamental shrubs with shiny mostly evergreen leaves and clusters of small bell-shaped flowers
en	en	dearth	A scarcity or lack of something.
en	en	debacle	A sudden and ignominious failure; a fiasco.
en	en	defecated	Discharge feces from the body.
en	en	deposed	Remove from office suddenly and forcefully.
en	en	destitute	Without the basic necessities of life.
en	en	disgusted	Cause (someone) to feel revulsion or profound disapproval.
en	en	dismayed	Cause (someone) to feel consternation and distress.
en	en	disowned	Refuse to acknowledge or maintain any connection with.
en	en	dita	Evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally
en	en	dork	A dull, slow-witted, or socially inept person.
en	en	dorks	A dull, slow-witted, or socially inept person.
en	en	doubting	Feel uncertain about.
en	en	douchebag	A small syringe for douching the vagina, especially as a contraceptive measure.
en	en	douchiness	 The quality of being douchey or douchy; objectionableness
en	en	dowdy	(of a person, typically a woman, or their clothes) unfashionable and without style in appearance.
en	en	drift	Be carried slowly by a current of air or water.
en	en	dubious	Hesitating or doubting.
en	en	duped	Deceive; trick.
en	en	embroiled	Involve (someone) deeply in an argument, conflict, or difficult situation.
